"filename", "language", "JSON with Comments", "JSON", "JavaScript", "TypeScript React", "TypeScript", "CSS", "Markdown", "Markdown React", "YAML", "comment", "blank", "total"
"/Users/benzinho/dev/side-projects/portfolio/portfolio-blog/next.config.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 3, 17
"/Users/benzinho/dev/side-projects/portfolio/portfolio-blog/package.json", "JSON", 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 1, 68
"/Users/benzinho/dev/side-projects/portfolio/portfolio-blog/pages/404.tsx", "TypeScript React", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 5, 38
"/Users/benzinho/dev/side-projects/portfolio/portfolio-blog/pages/_app.tsx", "TypeScript React", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 6, 42
"/Users/benzinho/dev/side-projects/portfolio/portfolio-blog/pages/_document.tsx", "TypeScript React", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 2, 22
"/Users/benzinho/dev/side-projects/portfolio/portfolio-blog/pages/about.tsx", "TypeScript React", 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 7, 55
"/Users/benzinho/dev/side-projects/portfolio/portfolio-blog/pages/blog/[slug].tsx", "TypeScript React", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 6, 40
"/Users/benzinho/dev/side-projects/portfolio/portfolio-blog/pages/blog/index.tsx", "TypeScript React", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 4, 23
"/Users/benzinho/dev/side-projects/portfolio/portfolio-blog/pages/index.tsx", "TypeScript React", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 4, 27
"/Users/benzinho/dev/side-projects/portfolio/portfolio-blog/pages/projects/[slug].tsx", "TypeScript React", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 6, 40
"/Users/benzinho/dev/side-projects/portfolio/portfolio-blog/pages/projects/index.tsx", "TypeScript React", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 4, 23
"/Users/benzinho/dev/side-projects/portfolio/portfolio-blog/postcss.config.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/benzinho/dev/side-projects/portfolio/portfolio-blog/public/locales/en/common.json", "JSON", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 1, 32
"/Users/benzinho/dev/side-projects/portfolio/portfolio-blog/public/locales/fr/common.json", "JSON", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 1, 33
"/Users/benzinho/dev/side-projects/portfolio/portfolio-blog/public/manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/benzinho/dev/side-projects/portfolio/portfolio-blog/styles/syntax.css", "CSS", 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 8, 55
"/Users/benzinho/dev/side-projects/portfolio/portfolio-blog/styles/tailwind.css", "CSS", 0, 0, 0, 0, 0, 151, 0, 0, 0, 4, 49, 204
"/Users/benzinho/dev/side-projects/portfolio/portfolio-blog/tailwind.config.js", "JavaScript", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 1, 53
"/Users/benzinho/dev/side-projects/portfolio/portfolio-blog/tsconfig.json", "JSON with Comments", 7, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 33
"Total", "-", 7, 133, 77, 1856, 221, 239, 124, 1054, 2, 115, 698, 4526
